Nom du test : Partenaires Roaming & Services
Date : 5/22/2025, 9:55:41 AM
Erreur globale : Aucun service manquant détecté.

| Pays                                  | Opérateur                                           | Services Manquants |
|---------------------------------------|-----------------------------------------------------|--------------------|
| Afghanistan                           | Telecom Development Company Afghanistan Ltd.        |                    |
| Afghanistan                           | Etisalat Afghanistan                                |                    |
| Afghanistan                           | MTN                                                 |                    |
| Afghanistan                           | Afghan Wireless Communication Company               |                    |
| Albania                               | Albanian Mobile Communications                      |                    |
| Albania                               | Vodafone                                            |                    |
| Angola                                | Unitel S,A                                          |                    |
| Angola                                | Movicel Angola                                      |                    |
| Argentina                             | Telefonica                                          |                    |
| Argentina                             | Claro                                               |                    |
| Armenia                               | K Telecom CJSC                                      |                    |
| Armenia                               | Armentel                                            |                    |
| Aruba                                 | Digicel                                             |                    |
| Australia                             | Telstra                                             |                    |
| Australia                             | Vodafone Hutchison                                  |                    |
| Austria                               | T-Mobile                                            |                    |
| Austria                               | T-Mobile                                            |                    |
| Austria                               | T-Mobile                                            |                    |
| Azerbaijan                            | Azercell Telecom BM                                 |                    |
| Azerbaijan                            | Backcell                                            |                    |
| Azerbaijan                            | K Telecom CJSC  / Azerfon LLC                       |                    |
| Bahamas                               | Be Aliv                                             |                    |
| Bahrain                               | Bahrain Telecommunications Company                  |                    |
| Bahrain                               | ZAIN BAHRAIN                                        |                    |
| Bahrain                               | VIVA BAHRAIN                                        |                    |
| Bangladesh                            | Robi Axiata                                         |                    |
| Bangladesh                            | Airtel Bangladesh Ltd                               |                    |
| Belarus                               | JLLC Mobile TeleSystems                             |                    |
| Belarus                               | Velcom                                              |                    |
| Belgium                               | Belgacom Mobile/Proximus                            |                    |
| Belgium                               | BASE NV/SA                                          |                    |
| Belgium                               | Mobistar S.A. / Orange                              |                    |
| Belgium                               | Bics                                                |                    |
| Belgium                               | Telenet BVBA, Belgium                               |                    |
| Benin                                 | SPACETEL                                            |                    |
| Birmanie                              | OOredOO Birmanie                                    |                    |
| Bosnia and Herzegovina                | HT-ERONET                                           |                    |
| Bosnia and Herzegovina                | RS Telecommunications JSC Banja Luka m:tel          |                    |
| Bostwana                              | Mascom Bostwana                                     |                    |
| Bostwana                              | Orange Bostwana                                     |                    |
| Burkina Faso                          | telecell                                            |                    |
| Burkina Faso                          | Orange                                              |                    |
| Brazil                                | Vivo                                                |                    |
| Brazil                                | Vivo                                                |                    |
| Brazil                                | Vivo                                                |                    |
| Brazil                                | Vivo                                                |                    |
| Brazil                                | TIM Cellular                                        |                    |
| Brazil                                | TIM Cellular                                        |                    |
| Brazil                                | TIM Cellular                                        |                    |
| Brazil                                | CLARO                                               |                    |
| British Virgin Island                 | Digicel                                             |                    |
| Brunei Darussalam                     | Datastream Technology Sdn Bhd                       |                    |
| Brunei Darussalam                     | Progressif Cellular Sdn Bhd                         |                    |
| Brunei Darussalam                     | Unified National Networks                           |                    |
| Brunei Darussalam                     | Unified National Networks                           |                    |
| Bulgaria                              | Bulgarian Telecommunications Com VIVAcom            |                    |
| Bulgaria                              | Telenor Bulgaria Mobile EAD /telefonica             |                    |
| Bulgaria                              | Mobitel BULGARIA                                    |                    |
| Burundi                               | Smart Burundi                                       |                    |
| Burundi                               | Lumitel Burundi                                     |                    |
| Cambodia                              | Metfone                                             |                    |
| Cambodia                              | Metfone                                             |                    |
